english_name,Characteristic,cuisine,category,English_ingredient,description, vegetarians,allergy,keywords,temp,Calories
Gamjajeon,"['Crispy', 'mild']",Korean,['fried'],"['Potatoes', 'water', 'salt', 'cooking oil']","Gamjajeon is a type of pancake made primarily from potatoes, which are finely grated to create a starchy batter. The grated potatoes are mixed with a pinch of salt and sometimes a small amount of flour to help bind the mixture. This batter is then spread thinly in a frying pan with a generous amount of vegetable oil and cooked over medium heat until the edges turn golden brown and crispy. To add texture and flavor, some variations include julienned vegetables like carrots, onions, or scallions, which give the pancake a bit of color and crunch. Gamjajeon is typically served hot with a simple dipping sauce made from soy sauce and vinegar, which adds a tangy complement to the mild, savory flavor of the pancake.",1,[],"['bit', 'complement', 'salt', 'gamjajeon', 'Gamjajeon', 'batter', 'onion', 'scallion', 'pancake', 'carrot', 'flour', 'starchy', 'potato', 'vinegar', 'mixture', 'crispy', 'sauce', 'brown', 'oil']",warm,400
Sundae Gukbap (Korean Blood Sausage Soup),['earthy'],Korean,"['rice', 'soup']","['Commercial', 'green onion', 'cheongyang pepper', 'commercial board', 'water', 'salt', 'pepper']","Sundae Gukbap is a hearty Korean soup made with sundae (Korean blood sausage) as its main ingredient, combined with a rich broth and rice. The soup starts with a flavorful stock, often made by simmering pork bones to create a deeply savory base. Slices of sundae, which is typically stuffed with pig's blood, noodles, and various seasonings, are added to the broth, along with pieces of pork offal such as liver, intestines, and stomach, depending on regional variations and personal preference. Cooked rice is either served in the soup or on the side, allowing each bite to be customized. The soup is commonly garnished with green onions, garlic, and perilla powder for added depth and aroma, while a side of salted shrimp or chili powder is offered to adjust the seasoning to taste. Sundae Gukbap is known for its comforting, savory flavor and is often enjoyed as a filling meal or a hangover remedy in Korea.",1,[],"['gukbap', 'blood', 'Korea', 'onion', 'Sundae Gukbap', 'garlic', 'pork', 'stomach', 'chili', 'soup', 'powder', 'bone', 'sausage', 'Korean', 'stock', 'sundae', 'perilla', 'rice', 'korea', 'broth']",warm,650
Suyuk Gukbap (Boiled Pork Soup),['earthy'],Korean,"['rice', 'soup']","['Pork belly', 'radish', 'bean sprouts', 'boiled siraegi', 'zala', 'spicy peppers']","Suyuk Gukbap is a comforting Korean soup made with tender slices of suyuk (boiled pork) served in a rich, flavorful broth with rice. The pork, typically from cuts like pork belly or shoulder, is slowly simmered until it becomes tender and juicy, absorbing the flavors of the aromatic ingredients in the broth, such as garlic, ginger, and sometimes green onions. Once cooked, the pork is sliced and added to a hot, savory broth made from simmered bones, giving the soup a deep, meaty flavor. Rice is either served directly in the broth or on the side, allowing diners to add it as they eat. Suyuk Gukbap is typically garnished with chopped green onions and is accompanied by condiments like salted shrimp, fermented shrimp paste, or chili powder to adjust the seasoning to taste. This dish is loved for its warm, savory flavors and is often enjoyed as a hearty, satisfying meal, especially during colder seasons.",0,[],"['Suyuk Gukbap', 'gukbap', 'ginger', 'suyuk', 'shrimp', 'onion', 'pork', 'paste', 'chili', 'soup', 'powder', 'Rice', 'bone', 'Korean', 'tender', 'diner', 'rice', 'broth']",warm,700
Pork Bone Hangover Soup,"['spicy', 'nutty']",Korean,"['rice', 'soup']","['Pork spine', 'rugs', 'leeks', 'water']","Pork Bone Hangover Soup, known as Gamjatang in Korean, is a hearty, spicy soup made with pork neck or spine bones simmered for hours to create a deeply flavorful, rich broth. Despite its name, gamjatang doesn't always include ""gamja"" (potatoes), though they are a common addition. The soup includes tender pieces of pork that fall off the bone, along with napa cabbage, perilla leaves, green onions, and optional potatoes. Red chili paste and chili powder give the broth a vibrant, spicy kick, while perilla seeds or powder add a nutty depth to the flavor. The soup is often garnished with perilla leaves and green onions, enhancing its aromatic quality. Traditionally enjoyed as a comforting meal and a popular hangover remedy, Gamjatang is loved for its bold flavors, warming spices, and satisfying meatiness.",0,[],"['leaf', 'Gamjatang', 'spine', 'neck', 'spice', 'onion', 'spicy', 'seed', 'deeply', 'pork', 'paste', 'potato', 'cabbage', 'chili', 'soup', 'powder', 'gamjatang', 'meatiness', 'hearty', 'bone', 'Korean', 'tender', 'perilla', 'kick', 'broth']",warm,700
Bean Sprout Soup,"['crunchy', 'nutty', 'mild', 'clean']",Korean,"['rice', 'soup']","['Bean sprouts', 'leek', 'cheongyang pepper', 'shrimp', 'soy sauce', 'salt', 'rice']","Bean Sprout Soup, known as Kongnamul-guk in Korean, is a light, refreshing soup made with bean sprouts as the main ingredient. The broth is typically made with a base of garlic, green onions, and sometimes dried anchovies or kelp to enhance the flavor, giving it a mild, savory taste. Bean sprouts are added to the boiling broth, providing a satisfying crunch and a subtle nutty flavor. The soup is often seasoned simply with salt or soy sauce and garnished with chopped green onions and a sprinkle of chili flakes for a bit of heat, if desired. Known for its clean, soothing flavor, Bean Sprout Soup is commonly enjoyed as a light meal, a side dish, or even as a popular remedy for hangovers due to its hydrating and mild taste.",1,"['shellfish', 'soy']","['bit', 'Bean Sprout Soup', 'bean', 'onion', 'garlic', 'sprinkle', 'chili', 'soup', 'sprout', 'light', 'soy', 'kelp', 'Korean', 'sauce', 'broth']",warm,250
Kimchi Jjigae (Kimchi Stew),"['spicy', 'hot', 'sour']",Korean,"['rice', 'stew']","['Kimchi', 'grapes', 'kakdu soup', 'leek', 'tofu', 'water (anchovy broth)', 'tuna']","Kimchi Jjigae, or Kimchi Stew, is a classic Korean comfort dish made with aged kimchi, which lends a deep, tangy flavor to the stew. The base is typically a broth made from anchovies or pork, though water can also be used. Key ingredients include well-fermented kimchi, tofu, green onions, and often slices of pork belly or canned tuna, depending on preference. Gochugaru (Korean chili flakes) or gochujang (Korean chili paste) is added to intensify the spice level and deepen the red color of the broth. The stew is simmered until the flavors meld together, creating a bold, savory, and slightly spicy soup with tender pieces of kimchi. Kimchi Jjigae is typically served bubbling hot and is enjoyed with a bowl of steamed rice, balancing its robust flavors with a simple side. This beloved dish is celebrated for its rich, comforting taste and is especially popular on cold days or as a warming, hearty meal.",0,[],"['day', 'Kimchi Jjigae', 'lends', 'meld', 'Kimchi Stew', 'onion', 'water', 'level', 'pork', 'paste', 'kimchi', 'stew', 'anchovy', 'chili', 'soup', 'hearty', 'color', 'jjigae', 'Korean', 'tender', 'rice', 'tofu']",warm,300
Beef Brisket Doenjang Jjigae,"['earthy', 'nutty']",Korean,"['rice', 'stew']","['Marbled', 'onion', 'zucchini', 'tofu', 'mushroom', 'leek']","Beef Brisket Doenjang Jjigae is a flavorful Korean stew made with doenjang (fermented soybean paste) and tender slices of beef brisket. This dish starts with a broth infused with the earthy, rich flavor of doenjang, creating a savory base that’s both hearty and deeply satisfying. Thinly sliced beef brisket is added, bringing a meaty depth to the stew that pairs well with the robust taste of the soybean paste. The stew also includes an assortment of vegetables, such as zucchini, onions, potatoes, and mushrooms, which add texture and natural sweetness. Tofu is often included for its soft texture, and the stew is garnished with green onions and chili peppers for a touch of heat. Simmered until all the ingredients are tender and well-integrated, Beef Brisket Doenjang Jjigae is traditionally served bubbling hot, often accompanied by a bowl of steamed rice, making it a hearty, comforting meal with layers of savory, umami-rich flavors.",0,[],"['touch', 'onion', 'zucchini', 'mushroom', 'soybean', 'brisket', 'beef', 'sweetness', 'deeply', 'add', 'paste', 'potato', 'stew', 'Beef Brisket', 'depth', 'chili', 'hearty', 'earthy', 'Doenjang Jjigae', 'jjigae', 'Korean', 'tender', 'doenjang', 'rice', 'tofu']",warm,450
Sundubu Jjigae (Soft Tofu Stew),"['soft', 'spicy', 'nutty']",Korean,"['rice', 'stew']","['Tofu', 'leek', 'onion', 'zucchini', 'cheongyang pepper', 'egg', 'sesame oil', 'cooking oil', 'red pepper powder', 'salt', 'sugar', 'oyster sauce', 'soy sauce']","Sundubu Jjigae, or Soft Tofu Stew, is a comforting Korean dish known for its rich, spicy broth and silky-soft tofu. The stew typically starts with a flavorful base made from anchovy or beef stock, enhanced with gochugaru (Korean chili flakes) or gochujang (Korean chili paste) for a deep red color and a bold, spicy kick. Key ingredients include uncurdled tofu, which has a creamy, custard-like texture that absorbs the flavors of the broth, and a variety of vegetables like onions, zucchini, and mushrooms. Often, protein such as clams, shrimp, pork, or beef is added, giving the stew a satisfying depth. Sundubu Jjigae is commonly garnished with green onions and topped with a cracked egg that gently cooks in the hot broth. Served boiling hot in a stone pot, this stew is enjoyed with steamed rice, balancing the spicy, savory flavors with the mildness of the tofu and egg. Sundubu Jjigae is beloved for its warming, hearty quality, making it a popular choice for chilly days.",1,"['sesame', 'eggs', 'soy', 'shellfish']","['mildness', 'day', 'Sundubu Jjigae', 'shrimp', 'onion', 'egg', 'zucchini', 'mushroom', 'spicy', 'beef', 'pork', 'paste', 'chilly days', 'pot', 'stew', 'chili', 'Soft Tofu Stew', 'sundubu', 'vegetable', 'hearty', 'stone', 'color', 'jjigae', 'Korean', 'stock', 'rice', 'tofu']",warm,300
Budae Jjigae (Army Stew),"['hot', 'spicy', 'salty']",Korean,"['rice', 'stew']","['Kimchi', 'Vienna', 'spam', 'tofu', 'rice cake', 'leek', 'red pepper', 'cheongyang pepp']","Budae Jjigae, or Army Stew, is a unique Korean fusion dish created after the Korean War, combining traditional Korean ingredients with American processed foods. This hearty, spicy stew typically includes a mix of kimchi, tofu, and vegetables like onions, mushrooms, and green onions, along with ingredients such as Spam, hot dogs, instant noodles, and sometimes baked beans. The broth is flavored with gochugaru (Korean chili flakes), gochujang (Korean chili paste), and doenjang (fermented soybean paste), giving it a rich, spicy, and slightly tangy taste. Often, sliced cheese is added on top for a creamy texture that balances the spice. Served bubbling hot, Budae Jjigae is cooked directly at the table and eaten communally, with each person adding rice, noodles, or additional ingredients as they like. Known for its comforting, bold flavors and playful mix of ingredients, Budae Jjigae is a popular dish for gatherings and cold days.",0,[],"['day', 'army', 'spice', 'onion', 'mushroom', 'Army Stew', 'spicy', 'fusion', 'Spam', 'dog', 'paste', 'kimchi', 'food', 'stew', 'budae', 'American', 'chili', 'vegetable', 'hearty', 'Budae Jjigae', 'tofu', 'person', 'war', 'spam', 'gochujang', 'jjigae', 'Korean', 'the Korean War', 'mix', 'doenjang', 'rice', 'noodle', 'broth', 'cold days', 'eaten']",warm,550
Galbi Jjim (Braised Short Ribs),"['Sweet', 'soft']",Korean,"['rice', 'meat']","['Pork ribs', 'potatoes', 'onions', 'leeks', 'carrots', 'mushrooms', 'chestnuts', 'cheongyang pepper']","Galbi Jjim, or Braised Short Ribs, is a beloved Korean dish featuring tender beef short ribs slowly braised in a savory-sweet sauce until they are melt-in-your-mouth tender. The ribs are first soaked to remove excess blood and then simmered with a flavorful mixture of soy sauce, sugar, garlic, ginger, and sesame oil, creating a rich, caramelized sauce. The dish often includes vegetables such as carrots, radishes, potatoes, mushrooms, and chestnuts, which absorb the sauce and add natural sweetness. The braising process makes the meat incredibly soft, and the sauce thickens to a glossy, sticky consistency that clings to each piece. Often garnished with sesame seeds and thinly sliced green onions, Galbi Jjim is served as a special meal, traditionally enjoyed during holidays or celebrations for its luxurious taste and texture. It’s usually paired with steamed rice to balance its deeply savory, slightly sweet flavors.",0,[],"['Braised Short Ribs', 'jjim', 'rib', 'ginger', 'blood', 'onion', 'Galbi', 'galbi', 'mushroom', 'beef', 'carrot', 'sweetness', 'seed', 'thickens', 'chestnut', 'Galbi Jjim', 'potato', 'meat', 'mixture', 'first', 'sugar', 'soy', 'Korean', 'tender', 'sauce', 'rice', 'oil']",warm,700
